td,bstatus,date,year,sr,yburned
49,unburned,20240812,2024,1.65105,-999
68,unburned,20240812,2024,1.26534,-999
62,unburned,20240812,2024,1.0182,-999
61,unburned,20240812,2024,2.24574,-999
52,unburned,20240812,2024,-999,-999
30,unburned,20240812,2024,-999,-999
30,unburned,20240812,2024,-999,-999
40,unburned,20240812,2024,-999,-999
48,unburned,20240812,2024,-999,-999
35,unburned,20240812,2024,-999,-999
41,unburned,20240812,2024,-999,-999
39,unburned,20240812,2024,-999,-999
37,unburned,20240812,2024,-999,-999
47,unburned,20240812,2024,-999,-999
30,unburned,20240812,2024,-999,-999
50.625,unburned,20230815,2023,0.874003333,-999
48.825,unburned,20230815,2023,0.60956,-999
53.675,unburned,20230815,2023,1.368976667,-999
45.375,unburned,20230815,2023,1.797743333,-999
48,unburned,20230815,2023,1.29232,-999
44.5,unburned,20230815,2023,2.02974,-999
44.5,unburned,20230815,2023,0.63853,-999
39,unburned,20230815,2023,2.357516667,-999
46.625,unburned,20230815,2023,2.10214,-999
14.875,unburned,20220614,2022,-999,-999
13.125,unburned,20220614,2022,-999,-999
11.25,unburned,20220614,2022,-999,-999
12.75,unburned,20220614,2022,-999,-999
16.75,unburned,20220614,2022,-999,-999
25.75,unburned,20220614,2022,-999,-999
9.75,burned,20220614,2022,-999,-999
3.75,burned,20220614,2022,-999,-999
8.75,burned,20220614,2022,-999,-999
10.75,burned,20220614,2022,-999,-999
10.125,burned,20220614,2022,-999,-999
5.25,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
17.5,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
-9999,burned,20220614,2022,-999,-999
39,burned,20220614,2022,-999,-999
22.5,burned,20220614,2022,-999,-999
30,burned,20220614,2022,-999,-999
22.5,burned,20220614,2022,-999,-999
23.5,burned,20220614,2022,-999,-999
27.25,burned,20220614,2022,-999,-999
88.125,burned,20230815,2023,0.612226667,2015
84.25,burned,20230815,2023,2.707056667,2015
78.75,burned,20230815,2023,1.637966667,2015
56.5,burned,20230815,2023,1.709813333,2015
60.875,burned,20230815,2023,3.8848,2015
69.125,burned,20230815,2023,3.750706667,2015
73.75,burned,20230815,2023,5.63882,2015
78,burned,20230815,2023,2.118126667,2015
75.25,burned,20230815,2023,1.07233,2015
71.375,burned,20230815,2023,0.845396667,2019
75.375,burned,20230815,2023,0.147916667,2019
68.75,burned,20230815,2023,1.087743333,2019
69.25,burned,20230815,2023,1.995066667,2019
64.25,burned,20230815,2023,1.189893333,2019
69.75,burned,20230815,2023,0.906686667,2019
82.25,burned,20230815,2023,0.989003333,2019
84.875,burned,20230815,2023,1.062463333,2019
77.5,burned,20230815,2023,0.926783333,2019
88,burned,20240819,2024,0.973485,2019
72,burned,20240819,2024,1.4285025,2019
78,burned,20240819,2024,1.988145,2019
82.5,burned,20240819,2024,1.71763,2019
72,burned,20240819,2024,2.5955275,2019
86.5,burned,20240819,2024,0.726265,2019
74.5,burned,20240819,2024,0.602715,2019
54,burned,20240819,2024,1.2407925,2019
76,burned,20240819,2024,1.95955,2019
58.5,burned,20240819,2024,1.596865,2019
104.5,burned,20240819,2024,1.5842525,2019
60,burned,20240819,2024,1.2732375,2019
72,burned,20240819,2024,1.35411,2019
69.5,burned,20240819,2024,1.53111,2019
81,burned,20240819,2024,1.9965325,2019
-999,burned,20240819,2024,2.6323675,-999
-999,burned,20240819,2024,1.1124,-999
-999,burned,20240819,2024,1.749991667,-999
-999,burned,20240819,2024,2.39784,-999
-999,burned,20240819,2024,2.932286667,-999
-999,burned,20240819,2024,2.321725,-999
-999,burned,20240819,2024,2.84773,-999
-999,burned,20240819,2024,2.379175,-999
-999,burned,20240819,2024,1.563275,-999
