td,bstatus,date,year,,,,,,,
49,unburned,20240812,2024,,,,,,,
68,unburned,20240812,2024,,,,,,,
62,unburned,20240812,2024,,,,,,,
61,unburned,20240812,2024,,,,,,,
52,unburned,20240812,2024,,,,,,,
30,unburned,20240812,2024,,,,,,,
30,unburned,20240812,2024,,,,,,,
40,unburned,20240812,2024,,,,,,,
48,unburned,20240812,2024,,,,,,,
35,unburned,20240812,2024,,,,,,,
41,unburned,20240812,2024,,,,,,,
39,unburned,20240812,2024,,,,,,,
37,unburned,20240812,2024,,,,,,,
47,unburned,20240812,2024,,,,,,,
30,unburned,20240812,2024,,,,,,,
50.625,unburned,20230815,2023,,,,,,,
48.825,unburned,20230815,2023,,,,,,,
53.675,unburned,20230815,2023,,,,,,,
45.375,unburned,20230815,2023,,,,,,,
48,unburned,20230815,2023,,,,,,,
44.5,unburned,20230815,2023,,,,,,,
44.5,unburned,20230815,2023,,,,,,,
39,unburned,20230815,2023,,,,,,,
46.625,unburned,20230815,2023,,,,,,,
14.875,unburned,20220614,2022,,,,,,,
13.125,unburned,20220614,2022,,,,,,,
11.25,unburned,20220614,2022,,,,,,,
12.75,unburned,20220614,2022,,,,,,,
16.75,unburned,20220614,2022,,,,,,,
25.75,unburned,20220614,2022,,,,,,,
9.75,burned,20220614,2022,,,,,,,
3.75,burned,20220614,2022,,,,,,,
8.75,burned,20220614,2022,,,,,,,
10.75,burned,20220614,2022,,,,,,,
10.125,burned,20220614,2022,,,,,,,
5.25,burned,20220614,2022,,,,,,,
17.5,burned,20220614,2022,,,,,,,
39,burned,20220614,2022,,,,,,,
22.5,burned,20220614,2022,,,,,,,
30,burned,20220614,2022,,,,,,,
22.5,burned,20220614,2022,,,,,,,
23.5,burned,20220614,2022,,,,,,,
27.25,burned,20220614,2022,,,,,,,
88.125,burned,20230815,2023,,,,,,,
84.25,burned,20230815,2023,,,,,,,
78.75,burned,20230815,2023,,,,,,,
56.5,burned,20230815,2023,,,,,,,
60.875,burned,20230815,2023,,,,,,,
69.125,burned,20230815,2023,,,,,,,
73.75,burned,20230815,2023,,,,,,,
78,burned,20230815,2023,,,,,,,
75.25,burned,20230815,2023,,,,,,,
71.375,burned,20230815,2023,,,,,,,
75.375,burned,20230815,2023,,,,,,,
68.75,burned,20230815,2023,,,,,,,
69.25,burned,20230815,2023,,,,,,,
64.25,burned,20230815,2023,,,,,,,
69.75,burned,20230815,2023,,,,,,,
82.25,burned,20230815,2023,,,,,,,
84.875,burned,20230815,2023,,,,,,,
77.5,burned,20230815,2023,,,,,,,
88,burned,20240819,2024,,,,,,,
72,burned,20240819,2024,,,,,,,
78,burned,20240819,2024,,,,,,,
82.5,burned,20240819,2024,,,,,,,
72,burned,20240819,2024,,,,,,,
86.5,burned,20240819,2024,,,,,,,
74.5,burned,20240819,2024,,,,,,,
54,burned,20240819,2024,,,,,,,
76,burned,20240819,2024,,,,,,,
58.5,burned,20240819,2024,,,,,,,
104.5,burned,20240819,2024,,,,,,,
60,burned,20240819,2024,,,,,,,
72,burned,20240819,2024,,,,,,,
69.5,burned,20240819,2024,,,,,,,
81,burned,20240819,2024,,,,,,,
