Sample_Name,S_site,Rep,Fire_h,L_Name,Site_Name,US_State,Biome,Lat,Long,Times_Burned,Year_Burned_1,Year_Burned_2,Year_Burned_3,Year_Burned_4,Last_YR_Burned,OL_Inc_Mass ,Store_Inc_Temp,TOC_leachate,DOC ,RGB,UV_VIS_Wave,AB,Suva
Unburned_Polygon_A,4,1,Unburned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.3610417, -164.6783611,0,-9999,-9999,-9999,-9999,-9999,5,4,843.2,11.36,79.05,254,0.62,0.074
Unburned_Polygon_B,4,2,Unburned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.3610278, -164.6783056,0,-9999,-9999,-9999,-9999,-9999,5.5,4,723.5,8.9,100.41,254,1.1,0.152
Unburned_Polygon_C,4,3,Unburned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.3610194, -164.6782639,0,-9999,-9999,-9999,-9999,-9999,5,4,612.1,11.12,102.82,254,0.63,0.103
Burned_71_A,6,1,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.43905, -164.6659250,1,1971,-9999,-9999,-9999,1971,5,4,692.9,9.37,60.26,254,0.56,0.08
Burned_71_B,6,2,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4389917, -164.6658722,1,1971,-9999,-9999,-9999,1971,1,4,732.8,10.05,97.41,254,1.15,0.156
Burned_71_C,6,3,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4389333, -164.6659222,1,1971,-9999,-9999,-9999,1971,5,4,826.2,10.02,85.14,254,0.32,0.038
Burned_2002_A,7,1,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4448833, -164.6724306,1,2002,-9999,-9999,-9999,2002,5.1,4,698.8,9.62,114.12,254,1.18,0.169
Burned_2002_B,7,2,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4452222, -164.6681583,1,2002,-9999,-9999,-9999,2002,5,4,572.6,7.61,129.41,254,0.8,0.14
Burned_2002_C,7,3,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4452056, -164.6681306,1,2002,-9999,-9999,-9999,2002,5,4,495.1,6.81,97.07,254,0.8,0.161
Burned_2019_1A ,9,1,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4430361, -164.6666056,2,2002,2019,-9999,-9999,2019,5,4,443,7.9,96.41,254,1.66,0.374
Burned_2019_1B,9,2,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4412222, -164.6649806,2,2002,2019,-9999,-9999,2019,5,4,545.8,7.77,98.31,254,0.54,0.098
Burned_2019_1C,9,3,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4412389, -164.6648333,2,2002,2019,-9999,-9999,2019,5,4,506.9,7.06,82.22,254,0.66,0.129
Burned_3X_A,11,1,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4396333, -164.6633417,3,1971,2002,2019,-9999,2019,1,4,362.2,7.9,144,254,0.26,0.071
Burned_3X_B,11,2,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4396056, -164.6632528,3,1971,2002,2019,-9999,2019,1,4,248.4,6.23,141.51,254,1.32,0.531
Burned_3X_C,11,3,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4395833, -164.6632028,3,1971,2002,2019,-9999,2019,5,4,450.5,6.38,129.74,254,0.92,0.203
Burned_4X _A,12,1,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4269056, -164.6137750,4,1971,1997,2002,2015,2015,5,4,248.4,4.96,138.78,254,0.94,0.378
Burned_4X _B,12,2,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4269, -164.6139944,4,1971,1997,2002,2015,2015,5,4,219.2,5.82,133.52,254,0.06,0.027
Burned_4X _C,12,3,Burned,Organic layer,Kougarok Fire Complex,Alaska,Tundra,65.4269083, -164.6139944,4,1971,1997,2002,2015,2015,1,4,221.5,4.34,129.81,254,1.52,0.685
