Count,fire,burn,timesburned,yburned,tsf,Date,year,Filename D Tag in LI_COR,Transect ,plot,Lat,Long,veg,Plant functional group,PFT,pvc,repid,thawdepth,temp5,temp10,moist,resp,resp_microgc_pergc,resp_microgc,elevation
1,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT4-rep1-1-li850,Transect 1,Plot 4,64.36107,-164.6784,wet tundra,"sedge, sphagnum (meadow or tundra)",wet graminoid,PVC1,UN1,50.625,15.51776667,,0.7015,0.874003333,0.135551873,10.48804,89
2,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT4-rep2-2-li850,Transect 1,Plot 4,65.36107,-164.6784,wet tundra,"sedge,sphagnum (meadow or tundra)",wet graminoid,PVC2,UN2,48.825,14.59946667,8.322233333,0.3699,0.60956,0.094538541,7.31472,89
3,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT4-rep3-li850,Transect 1,Plot 4,65.36108,-164.6483,wet tundra,"sedge,sphagnum (meadow or tundra)",wet graminoid,PVC3,UN3,53.675,15.28666667,7.262766667,0.627466667,1.368976667,0.212318814,16.42772,89
4,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT3-rep1-li850,Transect 1,Plot 3,65.36102,-164.6783,shrub tundra,"tussock tundra, shrub",shrubs,PVC1,UN4,45.375,15.2661,5.2171,0.147466667,1.797743333,0.278817559,21.57292,89
5,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT3-rep2-li850,Transect 1,Plot 3,65.36101,-164.6783,shrub tundra,"tussock tundra, shrub",shrubs,PVC2,UN5,48,15.7,5.595966667,0.224533333,1.29232,0.200429895,15.50784,89
6,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT3_rep3-li850,Transect 1,Plot 3,65.36104,-164.6783,shrub tundra,"tussock tundra, shrub",shrubs,PVC3,UN6,44.5,15.73916667,5.509366667,0.383666667,2.02974,0.314798638,24.35688,89
7,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT1_rep1-finalmeas-li850,Transect 1,Plot 1,65.36089,-164.6784,moist tundra,tussock tundra,wet graminoid,PVC1,UN7,44.5,14.4564,6.358233333,0.350366667,0.63853,0.099031587,7.66236,92
8,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT1_rep2-useit-li850,Transect 1,Plot 1,65.36087,-164.6784,moist tundra,tussock tundra,wet graminoid,PVC2,UN8,39,14.76886667,3.512133333,0.442166667,2.357516667,0.365634532,28.2902,92
9,Unburned,Unburned,0,>100,0,8/15/2023,2023,UNB_T1_PLOT1_rep3-li850,Transect 1,Plot 1,65.36091,-164.6784,moist tundra,tussock tundra,wet graminoid,PVC3,UN9,46.625,14.6964,6.2213,0.4776,2.10214,0.326027377,25.22568,92
10,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot1_rep1-li850,Transect 2,Plot 1,65.42729,-164.6125,shrub tundra,dwarf shrub tundra,shrubs,PVC1,4xB1,88.125,13.62693333,8.288866667,0.233333333,0.612226667,0.076364511,7.346720004,168
11,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot1_rep2-repeat-li850,Transect 2,Plot 1,65.4273,-164.6125,shrub tundra,dwarf shrub tundra,shrubs,PVC2,4xB2,84.25,14.8089,8.132333333,0.383533333,2.707056667,0.337657717,32.48468,168
12,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot1_rep3-li850,Transect 2,Plot 1,65.42734,-164.6125,shrub tundra,dwarf shrub tundra,shrubs,PVC3,4xB3,78.75,14.7086,9.0443,0.274133333,1.637966667,0.204307539,19.6556,168
13,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot2_rep1-li850,Transect 2,Plot 2,65.42736,-164.6125,moist tundra,"Forb, graminoid (fireweed)",dry graminoid,PVC1,4xB4,56.5,14.46306667,6.881766667,0.329533333,1.709813333,0.213269147,20.51776,171
14,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot2_rep2-li850,Transect 2,Plot 2,65.42737,-164.6126,moist tundra,"Forb, graminoid (fireweed)",dry graminoid,PVC2,4xB5,60.875,14.1,7.143466667,0.136766667,3.8848,0.484560488,46.6176,171
15,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot2_rep3-li850,Transect 2,Plot 2,65.42739,-164.6126,moist tundra,"Forb, graminoid (fireweed)",dry graminoid,PVC3,4xB6,69.125,15.36833333,7.244766667,0.072166667,3.750706667,0.467834703,45.00848,171
16,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot5_rep1-li850,Transect 2,Plot 5,65.42767,-164.6128,moist tundra,"Forb, graminoid, coltsfoot",dry graminoid,PVC1,4xB7,73.75,16.21276667,7.715033333,0.367366667,5.63882,0.70334364,67.66584,171
17,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot5_rep2_usethis-li850,Transect 2,Plot 5,65.42764,-164.6128,moist tundra,"Forb, graminoid, coltsfoot",dry graminoid,PVC2,4xB8,78,17.47056667,7.136766667,0.222633333,2.118126667,0.264199056,25.41752,171
18,4xburned,Burned,4,2015,8,8/16/2023,2023,4xburned_tran2_plot5_rep3_usethis-li850,Transect 2,Plot 5,65.42765,-164.6128,moist tundra,"Forb, graminoid, coltsfoot",dry graminoid,PVC3,4xB9,75.25,17.01666667,6.759566667,0.1801,1.07233,0.133754311,12.86796,171
19,3xburned,Burned,3,2019,4,8/20/2023,2023,3xburned_tran1_plot6_rep1-li851,Transect 1,Plot 6,65.44045,-164.664,moist tundra,tussock tundra,wet graminoid,PVC1,3xB1,71.375,9.6986,5.092066667,0.6137,0.845396667,0.27381894,10.14476,95
20,3xburned,Burned,3,2019,4,8/20/2023,2023,3xburned_tran1_plot6_rep2-li851,Transect 1,Plot 6,65.44048,-164.664,moist tundra,tussock tundra,wet graminoid,PVC2,3xB2,75.375,9.921666667,5.5126,0.608866667,0.147916667,0.047909327,1.775000004,95
21,3xburned,Burned,3,2019,4,8/20/2023,2023,3xburned_tran1_plot6_rep3-li851,Transect 1,Plot 6,65.44049,-164.664,moist tundra,tussock tundra,wet graminoid,PVC3,3xB3,68.75,7.506933333,5.243066667,0.7702,1.087743333,0.352313581,13.05292,95
