Sample_ID,Sample_name,burn,rep,tsf,timesburned,temp,incday,co2
UP4,Unburned_mile80,Unburned,1,0,0,4,2,0.216086598
UP4,Unburned_mile80,Unburned,2,0,0,4,2,0.223819298
UP4,Unburned_mile80,Unburned,3,0,0,4,2,0.213950358
B714,Burned 71,Burned,1,51,1,4,2,0.368541246
B714,Burned 71,Burned,2,51,1,4,2,0.079563122
B714,Burned 71,Burned,3,51,1,4,2,0.306137202
B20024,Burned 2002,Burned,1,20,1,4,2,0.219966587
B20024,Burned 2002,Burned,2,20,1,4,2,0.222474505
B20024,Burned 2002,Burned,3,20,1,4,2,0.375220404
B20194,Burned 2019 2X,Burned,1,3,2,4,2,0.277062448
B20194,Burned 2019 2X,Burned,2,3,2,4,2,0.450599455
B20194,Burned 2019 2X,Burned,3,3,2,4,2,0.276166007
B3X4,Burned 2019 3X ,Burned,1,3,3,4,2,0.075858175
B3X4,Burned 2019 3X ,Burned,2,3,3,4,2,0.142938714
B3X4,Burned 2019 3X ,Burned,3,3,3,4,2,0.33039917
B4X4,Burned 4X ,Burned,1,7,4,4,2,0.183563202
B4X4,Burned 4X ,Burned,2,7,4,4,2,0.099117717
B4X4,Burned 4X ,Burned,3,7,4,4,2,0.063443607
UP4,Unburned_mile80,Unburned,1,0,0,14,2,0.611108826
UP4,Unburned_mile80,Unburned,2,0,0,14,2,0.64241858
UP4,Unburned_mile80,Unburned,3,0,0,14,2,0.715756166
B714,Burned 71,Burned,1,51,1,14,2,1.112856121
B714,Burned 71,Burned,2,51,1,14,2,0.401439057
B714,Burned 71,Burned,3,51,1,14,2,0.893262306
B20024,Burned 2002,Burned,1,20,1,14,2,0.682344984
B20024,Burned 2002,Burned,2,20,1,14,2,0.609690334
B20024,Burned 2002,Burned,3,20,1,14,2,0.876331638
B20194,Burned 2019 2X,Burned,1,3,2,14,2,0.754137986
B20194,Burned 2019 2X,Burned,2,3,2,14,2,1.177252216
B20194,Burned 2019 2X,Burned,3,3,2,14,2,0.875995959
B3X4,Burned 2019 3X ,Burned,1,3,3,14,2,0.251887411
