Sample_ID,Sample_name,burn,rep,tsf,timesburned,temp,cum
UP4,Unburned_mile80,Unburned,1,0,0,4,4.148939874
UP4,Unburned_mile80,Unburned,2,0,0,4,3.613624269
UP4,Unburned_mile80,Unburned,3,0,0,4,5.487291069
B714,Burned 71,Burned,1,51,1,4,4.390221865
B714,Burned 71,Burned,2,51,1,4,9.227035024
B714,Burned 71,Burned,3,51,1,4,4.33492083
B20024,Burned 2002,Burned,1,20,1,4,2.639886405
B20024,Burned 2002,Burned,2,20,1,4,2.044871632
B20024,Burned 2002,Burned,3,20,1,4,2.828513738
B20194,Burned 2019 2X,Burned,1,3,2,4,2.837413559
B20194,Burned 2019 2X,Burned,2,3,2,4,3.879682057
B20194,Burned 2019 2X,Burned,3,3,2,4,3.572379146
B3X4,Burned 2019 3X ,Burned,1,3,3,4,5.657368337
B3X4,Burned 2019 3X ,Burned,2,3,3,4,8.226557607
B3X4,Burned 2019 3X ,Burned,3,3,3,4,4.659146109
B4X4,Burned 4X ,Burned,1,7,4,4,3.636038228
B4X4,Burned 4X ,Burned,2,7,4,4,2.668163488
B4X4,Burned 4X ,Burned,3,7,4,4,6.74474526
UP4,Unburned_mile80,Unburned,1,0,0,14,7.586358692
UP4,Unburned_mile80,Unburned,2,0,0,14,7.532440401
UP4,Unburned_mile80,Unburned,3,0,0,14,10.01572318
B714,Burned 71,Burned,1,51,1,14,8.22548192
B714,Burned 71,Burned,2,51,1,14,12.65342289
B714,Burned 71,Burned,3,51,1,14,8.771586725
B20024,Burned 2002,Burned,1,20,1,14,4.516116632
B20024,Burned 2002,Burned,2,20,1,14,3.936474304
B20024,Burned 2002,Burned,3,20,1,14,5.506345954
B20194,Burned 2019 2X,Burned,1,3,2,14,6.007803331
B20194,Burned 2019 2X,Burned,2,3,2,14,7.278613366
B20194,Burned 2019 2X,Burned,3,3,2,14,5.873930237
B3X4,Burned 2019 3X ,Burned,1,3,3,14,7.586297907
B3X4,Burned 2019 3X ,Burned,2,3,3,14,9.186102869
B3X4,Burned 2019 3X ,Burned,3,3,3,14,9.855480799
B4X4,Burned 4X ,Burned,1,7,4,14,5.59154931
B4X4,Burned 4X ,Burned,2,7,4,14,6.545277536
B4X4,Burned 4X ,Burned,3,7,4,14,8.179871881
