code,burn,timesburned,ff,ylastburned,yb,site,nmass,cmass,nstock,cstock,ratio,omthick,bd,thawdepth,OL_Inc_Mass ,TOC_leachate,DOC ,Suva
Unburned_polygon_F,Unburned,0,0,unburned,0,unburned,15.56,446.2,288.1301389,8262.446528,28.67609254,14.875,0.124486461,14.875,5,843.2,11.36,0.074
Unburned_polygon_F,Unburned,0,0,unburned,0,unburned,17.87,443.55,316.0632153,7844.982604,24.82092893,11.125,0.158982522,13.125,5.5,723.5,8.9,0.152
Unburned_polygon_F,Unburned,0,0,unburned,0,unburned,11.88,331,113.28075,3156.222917,27.86195286,5.75,0.165833333,11.25,5,612.1,11.12,0.103
Unburned_polygon_F,Unburned,0,0,unburned,0,unburned,7.71,459.5,21.59870833,1287.238194,59.59792477,12.75,0.021971678,12.75,-9999,-9999,-9999,-9999
Unburned_polygon_F,Unburned,0,0,unburned,0,unburned,10.385,445.35,39.84522569,1708.721354,42.88396726,15.75,0.02436067,16.75,-9999,-9999,-9999,-9999
Unburned_polygon_F,Unburned,0,0,unburned,0,unburned,10.55,438.2,240.2542708,9979.092083,41.53554502,19.5,0.116784188,25.75,-9999,-9999,-9999,-9999
Burned71_A,Burned,1,1,1971,51,1971,17.87,443.55,135.6010347,3365.743646,24.82092893,9.75,0.077827635,9.75,5,692.9,9.37,0.08
Burned71_B,Burned,1,1,1971,51,1971,16.7,420.5,22.63777778,570.0111111,25.17964072,3.75,0.036148148,3.75,1,732.8,10.05,0.156
Burned71_C,Burned,1,1,1971,51,1971,15.09,491.6,115.5223333,3763.471111,32.57786614,8.75,0.087492063,8.75,5,826.2,10.02,0.038
Burned2002_A,Burned,1,1,2002,20,2002,17.29,431.5,301.6744792,7528.776042,24.95662233,10.75,0.162306202,10.75,5.1,698.8,9.62,0.169
Burned2002_B,Burned,1,1,2002,20,2002,23.47,451.3,438.3511458,8428.967708,19.22880273,10.125,0.184465021,10.125,5,572.6,7.61,0.14
Burned2002_C,Burned,1,1,2002,20,2002,22.03,436.3,167.0608333,3308.608333,19.80481162,5.25,0.144444444,5.25,5,495.1,6.81,0.161
Burned2002_D,Burned,1,1,2002,20,2002,19.84,431.1,356.6102222,7748.723125,21.72883065,12.5,0.143794444,-9999,-9999,-9999,-9999,-9999
Burned2002_E,Burned,1,1,2002,20,2002,13.96,338.3,37.58536111,910.8257639,24.23352436,0.875,0.307698413,-9999,-9999,-9999,-9999,-9999
Burned2002_F,Burned,1,1,2002,20,2002,8.635,224.7,74.62079167,1941.7825,26.02200347,7.25,0.119195402,-9999,-9999,-9999,-9999,-9999
2019_1A,Burned,2,2,2019,3,2019(2X),13.14,336.4,155.3075,3976.061111,25.60121766,7.375,0.160263653,-9999,5,443,7.9,0.374
2019_1B,Burned,2,2,2019,3,2019(2X),18.35,422.2,160.3586111,3689.558889,23.00817439,7.5,0.116518519,17.5,5,545.8,7.77,0.098
2019_1C,Burned,2,2,2019,3,2019(2X),17.94,430.8,169.7323333,4075.846667,24.01337793,6.125,0.15446712,-9999,5,506.9,7.06,0.129
2019_2A,Burned,2,2,2019,3,2019(2X),13.97,285.7,93.5116875,1912.404375,20.45096636,9.625,0.069545455,-9999,-9999,-9999,-9999,-9999
2019_2B,Burned,2,2,2019,3,2019(2X),15.77,279.3,85.08134028,1506.862292,17.71084337,6.375,0.08462963,-9999,-9999,-9999,-9999,-9999
2019_2C,Burned,2,2,2019,3,2019(2X),12.99,212.75,84.71464583,1387.455035,16.37798306,9.5,0.068647661,-9999,-9999,-9999,-9999,-9999
Burned_3x_A,Burned,3,2,2019,3,2019(3X),10.96,264.5,72.77744444,1756.353472,24.13321168,1.125,0.590246914,39,1,362.2,7.9,0.071
Burned_3x_B,Burned,3,2,2019,3,2019(3X),10.06,236.7,13.07101389,307.545625,23.52882704,0.3125,0.415777778,22.5,1,248.4,6.23,0.531
Burned_3x_C,Burned,3,2,2019,3,2019(3X),17.41,420.9,233.8985139,5654.674583,24.17576106,9.375,0.143303704,30,5,450.5,6.38,0.203
Burned4x_A,Burned,4,2,2015,7,2015(4X),13.28,301.9,231.5423333,5263.752292,22.73343373,10.5,0.166051587,22.5,5,248.4,4.96,0.378
Burned4x_B,Burned,4,2,2015,7,2015(4X),10.28,225.4,548.2595278,12021.17681,21.92607004,15,0.355550926,23.5,5,219.2,5.82,0.027
Burned4x_C,Burned,4,2,2015,7,2015(4X),14.56,306.3,131.1006667,2757.97625,21.03708791,6.75,0.133395062,27.25,1,221.5,4.34,0.685
