id,year,date,plant,latitude,longitude,elevation_m,bseverity,rep,hillslope,bstatus,yburned,td,temp10,temp5,moisture,sr
1,2024,8/19/2024,Dry graminoids,65.4415,-164.6519,134.6,moderate -low,rep1,u,burned,2019,88,3.80152,5.4275,0.44043,0.973485
2,2024,8/19/2024,Dry graminoids,65.4412,-164.6506,139.7,low,rep2,u,burned,2019,72,3.373435,6.272645,0.49611,1.4285025
3,2024,8/19/2024,Forbs,65.4412,-164.6529,128.5,moderate-high,rep1,u,burned,2019,78,7.376295,5.030415,0.5499925,1.988145
4,2024,8/19/2024,Forbs,65.441,-164.6515,138.3,moderate-high,rep2,u,burned,2019,82.5,13.1740875,4.499375,0.5769825,1.71763
5,2024,8/19/2024,Shrubs,65.4413,-164.6536,132.0,high,rep1,u,burned,2019,72,2.2623825,4.416875,0.3602825,2.5955275
6,2024,8/19/2024,Shrubs,65.4421,-164.6509,137.4,moderate-low,rep2,u,burned,2019,86.5,6.656585,4.710415,0.63515,0.726265
7,2024,8/19/2024,Wet graminoids,65.4414,-164.6527,131.9,high,rep1,u,burned,2019,74.5,3.17141,5.2929175,0.6755125,0.602715
8,2024,8/19/2024,Wet graminoids,65.4419,-164.6507,133.5,moderate-low,rep2,u,burned,2019,54,5.3235475,4.6737925,0.72982,1.2407925
9,2024,8/19/2024,Forbs,65.44,-164.6627,112.8,moderate-low,rep2,f,burned,2019,76,4.11603,8.4483325,0.4473175,1.95955
10,2024,8/19/2024,Shrubs,65.4409,-164.6593,112.8,moderate-low,rep1,f,burned,2019,58.5,3.01889,5.6295825,0.5683,1.596865
11,2024,8/19/2024,Shrubs,65.4393,-164.6634,99.9,moderate-high,rep2,f,burned,2019,104.5,3.7131475,8.6122925,0.4605,1.5842525
12,2024,8/19/2024,Dry graminoids,65.441,-164.6596,110.6,moderate-low,rep1,f,burned,2019,60,2.91507,5.692915,0.455015,1.2732375
13,2024,8/19/2024,Dry graminoids,65.4398,-164.6631,102.0,moderate-low,rep2,f,burned,2019,72,3.23156,8.433333333,0.581486667,1.35411
14,2024,8/19/2024,Wet graminoids,65.4406,-164.6596,108.5,low,rep1,f,burned,2019,69.5,4.03117,6.4875,0.5262025,1.53111
15,2024,8/19/2024,Wet graminoids,65.4401,-164.6643,99.9,moderate-low,rep2,f,burned,2019,81,8.49398,8.22854,0.536275,1.9965325
16,2024,8/19/2024,Forbs,65.4414,-164.6609,100.4,moderate-low,rep1,f,burned,2019,-999,4.070215,6.519375,0.2386825,2.6323675
17,2024,8/14/2024,Dry graminoids,65.4398,-164.6631,102.0,moderate-low,rep1,f,burned,2019,-999,4.39981,11.591945,0.415158333,1.1124
18,2024,8/14/2024,Dry graminoids,65.441,-164.6595,110.6,moderate-low,rep2,f,burned,2019,-999,3.424861667,8.244721667,0.444325,1.749991667
19,2024,8/14/2024,Forbs,65.44,-164.6627,112.8,moderate-low,rep1,f,burned,2019,-999,3.626035,9.752221667,0.447406667,2.39784
20,2024,8/14/2024,Forbs,65.4414,-164.6609,100.4,moderate-low,rep2,f,burned,2019,-999,4.246091667,8.921945,0.379065,2.932286667
21,2024,8/14/2024,Shrubs,65.4394,-164.6633,99.9,moderate-low,rep1,f,burned,2019,-999,4.041765,9.87028,0.32019,2.321725
22,2024,8/14/2024,Shrubs,65.4409,-164.6593,112.8,moderate-high,rep2,f,burned,2019,-999,2.3691425,9.1866675,0.2322575,2.84773
23,2024,8/14/2024,Wet graminoids,65.4401,-164.6643,99.89,moderate-low,rep1,f,burned,2019,-999,4.696545,10.86736167,0.265441667,2.379175
24,2024,8/14/2024,Wet graminoids,65.4413,-164.6645,108.46,moderate-low,rep2,f,burned,2019,-999,2.817463333,9.969166667,0.382753333,1.563275
25,2024,8/19/2024,Wet graminoids,65.3608,-164.6753,86.26,N/A,rep1,flat,unburned,2019,49,2.8139944,9.0475,0.27605,1.65105
26,2024,8/19/2024,Wet graminoids,65.3608,-164.6755,90.99,N/A,rep2,flat,unburned,2019,68,2.52984,8.44167,0.38017,1.26534
27,2024,8/19/2024,Wet graminoids,65.3608,-164.6758,91.16,N/A,rep3,flat,unburned,2019,62,2.84499,8.15083,0.38198,1.0182
28,2024,8/19/2024,Wet graminoids,65.3608,-164.6761,91.18,N/A,rep4,flat,unburned,2019,61,2.75481,8.21167,0.24228,2.24574
29,2023,8/15/2023,Wet graminoids,64.36107,-164.6784,89,-9999,-9999,flat,unburned,-9999,50.625,-9999,15.51776667,0.7015,0.874003333
30,2023,8/15/2023,Wet graminoids,65.36107,-164.6784,89,-9999,-9999,flat,unburned,-9999,48.825,8.322233333,14.59946667,0.3699,0.60956
31,2023,8/15/2023,Wet graminoids,65.36108,-164.6483,89,-9999,-9999,flat,unburned,-9999,53.675,7.262766667,15.28666667,0.627466667,1.368976667
32,2023,8/15/2023,Shrubs,65.36102,-164.6783,89,-9999,-9999,flat,unburned,-9999,45.375,5.2171,15.2661,0.147466667,1.797743333
33,2023,8/15/2023,Shrubs,65.36101,-164.6783,89,-9999,-9999,flat,unburned,-9999,48,5.595966667,15.7,0.224533333,1.29232
34,2023,8/15/2023,Shrubs,65.36104,-164.6783,89,-9999,-9999,flat,unburned,-9999,44.5,5.509366667,15.73916667,0.383666667,2.02974
